Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.736,3.879,2.085,257,-0.830
SokobanLearning,0.523,6.085,1.467,257,-0.970
SokobanLearning,0.523,8.294,1.460,259,-1.053
SokobanLearning,0.527,10.526,1.480,262,-1.102
SokobanLearning,0.524,12.823,1.557,257,-1.085
SokobanLearning,0.522,15.047,1.475,262,-1.105
SokobanLearning,0.524,17.223,1.428,262,-1.145
SokobanLearning,0.530,19.421,1.442,258,-1.157
SokobanLearning,0.527,21.653,1.489,261,-1.149
SokobanLearning,0.522,23.835,1.433,259,-1.165
SokobanLearning,0.525,25.953,1.374,258,-1.165
SokobanLearning,0.519,28.057,1.388,258,-1.202
SokobanLearning,0.525,30.191,1.384,258,-1.202
SokobanLearning,0.525,32.388,1.439,261,-1.224
SokobanLearning,0.525,34.524,1.401,258,-1.224
SokobanLearning,0.524,36.655,1.417,257,-1.248
SokobanLearning,0.523,38.852,1.448,259,-1.247
SokobanLearning,0.526,40.989,1.384,258,-1.247
SokobanLearning,0.525,43.138,1.405,260,-1.279
SokobanLearning,0.525,45.299,1.413,258,-1.292
SokobanLearning,0.521,47.388,1.365,258,-1.292
SokobanLearning,0.524,49.494,1.388,260,-1.319
SokobanLearning,0.525,51.607,1.393,258,-1.319
SokobanLearning,0.526,53.744,1.407,260,-1.347
SokobanLearning,0.525,55.838,1.355,258,-1.347
SokobanLearning,0.527,57.983,1.409,259,-1.371
SokobanLearning,0.526,60.113,1.371,260,-1.395
SokobanLearning,0.527,62.242,1.388,258,-1.395
SokobanLearning,0.526,64.362,1.379,260,-1.423
SokobanLearning,0.526,66.531,1.417,262,-1.437
SokobanLearning,0.525,68.598,1.354,258,-1.437
SokobanLearning,0.524,70.734,1.413,262,-1.460
SokobanLearning,0.523,72.834,1.364,258,-1.460
SokobanLearning,0.521,74.970,1.394,258,-1.486
SokobanLearning,0.525,77.089,1.374,258,-1.486
SokobanLearning,0.525,79.223,1.384,261,-1.508
SokobanLearning,0.524,81.363,1.401,260,-1.523
SokobanLearning,0.522,83.458,1.361,258,-1.523
SokobanLearning,0.523,85.514,1.365,262,-1.545
SokobanLearning,0.524,87.643,1.387,258,-1.545
SokobanLearning,0.525,89.763,1.386,260,-1.569
SokobanLearning,0.523,91.866,1.366,258,-1.569
SokobanLearning,0.524,93.995,1.380,260,-1.593
SokobanLearning,0.525,96.098,1.359,258,-1.593
SokobanLearning,0.526,98.219,1.373,260,-1.617
SokobanLearning,0.526,100.303,1.355,258,-1.617
SokobanLearning,0.525,102.405,1.382,261,-1.636
SokobanLearning,0.526,104.525,1.378,258,-1.636
SokobanLearning,0.525,106.645,1.392,260,-1.659
SokobanLearning,0.527,108.746,1.357,258,-1.659
SokobanLearning,0.524,110.861,1.360,257,-1.678
SokobanLearning,0.523,112.960,1.358,258,-1.678
SokobanLearning,0.527,115.083,1.381,259,-1.728
SokobanLearning,0.526,117.126,1.335,258,-1.728
SokobanLearning,0.524,119.221,1.380,257,-1.738
SokobanLearning,0.528,121.325,1.363,258,-1.738
SokobanLearning,0.527,123.436,1.355,260,-1.759
SokobanLearning,0.527,125.555,1.383,258,-1.762
SokobanLearning,0.527,127.656,1.353,260,-1.783
SokobanLearning,0.530,129.801,1.399,259,-1.782
SokobanLearning,0.526,131.911,1.366,258,-1.782
SokobanLearning,0.521,134.016,1.402,260,-1.802
SokobanLearning,0.523,136.058,1.362,258,-1.802
SokobanLearning,0.523,138.193,1.394,260,-1.822
SokobanLearning,0.525,140.315,1.374,260,-1.842
SokobanLearning,0.527,142.455,1.405,258,-1.842
SokobanLearning,0.524,144.559,1.368,260,-1.861
SokobanLearning,0.527,146.669,1.377,258,-1.861
SokobanLearning,0.525,148.768,1.362,257,-1.870
SokobanLearning,0.519,150.774,1.352,258,-1.870
SokobanLearning,0.527,152.838,1.366,260,-1.889
SokobanLearning,0.525,154.961,1.377,258,-1.889
SokobanLearning,0.525,157.043,1.349,260,-1.907
SokobanLearning,0.519,159.157,1.375,258,-1.907
SokobanLearning,0.524,161.231,1.370,260,-1.926
SokobanLearning,0.525,163.365,1.389,258,-1.926
SokobanLearning,0.525,165.460,1.374,260,-1.944
SokobanLearning,0.525,167.506,1.365,258,-1.944
SokobanLearning,0.525,169.595,1.389,260,-1.962
SokobanLearning,0.526,171.716,1.378,258,-1.962
SokobanLearning,0.524,173.820,1.364,260,-1.980
SokobanLearning,0.525,175.933,1.371,258,-1.980
SokobanLearning,0.524,178.066,1.383,260,-1.997
SokobanLearning,0.526,180.168,1.364,258,-1.997
SokobanLearning,0.526,182.309,1.397,260,-2.015
SokobanLearning,0.526,184.417,1.363,258,-2.015
SokobanLearning,0.526,186.544,1.379,260,-2.032
SokobanLearning,0.528,188.663,1.371,258,-2.032
SokobanLearning,0.530,190.786,1.370,260,-2.049
SokobanLearning,0.525,192.932,1.402,261,-2.053
SokobanLearning,0.529,195.051,1.361,258,-2.053
SokobanLearning,0.522,197.200,1.411,260,-2.070
SokobanLearning,0.525,199.230,1.358,258,-2.070
SokobanLearning,0.528,201.356,1.395,260,-2.086
SokobanLearning,0.526,203.455,1.348,258,-2.086
SokobanLearning,0.524,205.571,1.379,260,-2.102
SokobanLearning,0.525,207.680,1.365,258,-2.102
SokobanLearning,0.522,209.833,1.412,261,-2.112
SokobanLearning,0.522,211.951,1.373,260,-2.128
SokobanLearning,0.528,214.112,1.452,258,-2.128
SokobanLearning,0.527,216.264,1.459,260,-2.144
SokobanLearning,0.528,218.469,1.453,258,-2.144
SokobanLearning,0.529,220.695,1.478,257,-2.147
SokobanLearning,0.527,222.903,1.463,258,-2.147
SokobanLearning,0.534,225.194,1.543,262,-2.156
SokobanLearning,0.524,227.150,1.216,258,-2.156
SokobanLearning,0.520,229.209,1.332,260,-2.171
SokobanLearning,0.524,231.239,1.349,258,-2.171
SokobanLearning,0.525,233.336,1.395,260,-2.185
SokobanLearning,0.529,235.442,1.364,258,-2.185
