Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GridWorldLearning,0.745,3.851,2.096,262,-0.252
GridWorldLearning,0.529,6.136,1.525,257,-0.281
GridWorldLearning,0.530,8.494,1.597,261,-0.334
GridWorldLearning,0.528,10.798,1.542,257,-0.366
GridWorldLearning,0.524,13.120,1.554,260,-0.290
GridWorldLearning,0.531,15.466,1.580,257,-0.250
GridWorldLearning,0.534,17.771,1.533,258,-0.207
GridWorldLearning,0.533,20.179,1.639,261,-0.216
GridWorldLearning,0.528,22.578,1.637,262,-0.175
GridWorldLearning,0.529,24.822,1.496,257,-0.207
GridWorldLearning,0.532,27.118,1.545,262,-0.231
GridWorldLearning,0.529,29.434,1.562,262,-0.231
GridWorldLearning,0.529,31.755,1.571,262,-0.202
GridWorldLearning,0.530,34.022,1.511,257,-0.215
GridWorldLearning,0.520,36.273,1.489,257,-0.229
GridWorldLearning,0.523,38.474,1.445,262,-0.210
GridWorldLearning,0.524,40.693,1.459,260,-0.187
GridWorldLearning,0.524,42.935,1.494,257,-0.220
GridWorldLearning,0.529,45.160,1.471,261,-0.215
GridWorldLearning,0.525,47.504,1.595,260,-0.202
GridWorldLearning,0.524,49.859,1.594,261,-0.217
GridWorldLearning,0.523,52.267,1.678,261,-0.210
GridWorldLearning,0.524,54.637,1.623,258,-0.224
GridWorldLearning,0.527,56.958,1.571,257,-0.227
GridWorldLearning,0.529,59.267,1.559,259,-0.221
GridWorldLearning,0.521,61.966,1.955,261,-0.200
GridWorldLearning,0.527,63.980,1.281,259,-0.201
GridWorldLearning,0.533,66.245,1.512,258,-0.213
GridWorldLearning,0.536,68.556,1.538,259,-0.213
GridWorldLearning,0.530,70.933,1.610,261,-0.195
GridWorldLearning,0.529,73.316,1.621,262,-0.170
GridWorldLearning,0.534,75.628,1.559,257,-0.167
GridWorldLearning,0.527,77.897,1.522,259,-0.170
GridWorldLearning,0.528,80.303,1.650,258,-0.153
GridWorldLearning,0.528,82.619,1.570,262,-0.150
GridWorldLearning,0.527,84.842,1.469,261,-0.152
GridWorldLearning,0.523,87.025,1.433,262,-0.154
GridWorldLearning,0.529,89.378,1.595,261,-0.167
GridWorldLearning,0.518,91.759,1.640,262,-0.175
GridWorldLearning,0.534,94.234,1.714,261,-0.156
GridWorldLearning,0.529,96.591,1.590,261,-0.158
GridWorldLearning,0.532,98.881,1.533,262,-0.150
GridWorldLearning,0.528,101.164,1.542,259,-0.143
GridWorldLearning,0.530,103.493,1.554,258,-0.134
GridWorldLearning,0.529,105.814,1.558,260,-0.125
GridWorldLearning,0.528,108.091,1.523,258,-0.122
GridWorldLearning,0.531,110.462,1.609,258,-0.114
GridWorldLearning,0.533,112.746,1.515,257,-0.118
GridWorldLearning,0.528,115.041,1.539,257,-0.112
GridWorldLearning,0.533,117.353,1.549,261,-0.099
GridWorldLearning,0.533,119.736,1.608,261,-0.092
GridWorldLearning,0.535,122.027,1.533,260,-0.082
GridWorldLearning,0.530,124.347,1.559,258,-0.072
GridWorldLearning,0.530,126.646,1.548,257,-0.055
GridWorldLearning,0.526,128.936,1.537,258,-0.062
GridWorldLearning,0.535,131.206,1.514,260,-0.061
GridWorldLearning,0.525,133.439,1.484,258,-0.047
GridWorldLearning,0.525,135.621,1.431,257,-0.042
GridWorldLearning,0.523,137.994,1.617,257,-0.026
GridWorldLearning,0.527,140.274,1.546,257,-0.016
GridWorldLearning,0.524,142.679,1.645,261,0.004
GridWorldLearning,0.527,145.058,1.620,261,0.018
GridWorldLearning,0.527,147.482,1.667,259,0.017
GridWorldLearning,0.528,149.722,1.498,262,0.022
GridWorldLearning,0.524,152.115,1.625,262,0.019
GridWorldLearning,0.531,154.564,1.686,259,0.031
GridWorldLearning,0.531,157.030,1.698,257,0.038
GridWorldLearning,0.531,159.479,1.679,258,0.047
GridWorldLearning,0.537,161.992,1.730,259,0.055
GridWorldLearning,0.534,164.472,1.711,258,0.068
GridWorldLearning,0.534,166.828,1.580,259,0.067
GridWorldLearning,0.528,169.305,1.713,262,0.073
GridWorldLearning,0.531,171.774,1.693,260,0.082
GridWorldLearning,0.527,174.196,1.680,258,0.093
GridWorldLearning,0.530,176.664,1.694,262,0.102
GridWorldLearning,0.530,179.141,1.709,258,0.103
GridWorldLearning,0.524,181.438,1.541,261,0.114
GridWorldLearning,0.532,183.694,1.505,261,0.114
GridWorldLearning,0.532,186.145,1.678,258,0.115
GridWorldLearning,0.534,188.677,1.757,260,0.126
GridWorldLearning,0.530,191.188,1.740,260,0.135
GridWorldLearning,0.531,193.666,1.703,261,0.143
GridWorldLearning,0.531,196.195,1.755,257,0.142
GridWorldLearning,0.534,198.743,1.770,262,0.155
GridWorldLearning,0.530,201.239,1.730,258,0.163
GridWorldLearning,0.534,203.787,1.772,260,0.169
GridWorldLearning,0.531,206.150,1.575,261,0.177
GridWorldLearning,0.532,208.656,1.731,261,0.183
GridWorldLearning,0.535,210.788,1.383,260,0.184
GridWorldLearning,0.539,213.124,1.557,257,0.192
GridWorldLearning,0.530,215.632,1.742,262,0.208
GridWorldLearning,0.531,217.973,1.567,258,0.212
GridWorldLearning,0.530,220.340,1.619,261,0.220
GridWorldLearning,0.530,222.741,1.626,261,0.233
GridWorldLearning,0.529,225.201,1.675,260,0.244
GridWorldLearning,0.531,227.549,1.565,258,0.252
GridWorldLearning,0.526,229.996,1.668,261,0.259
GridWorldLearning,0.528,232.415,1.658,257,0.268
GridWorldLearning,0.529,234.814,1.621,258,0.275
GridWorldLearning,0.528,237.334,1.737,261,0.289
GridWorldLearning,0.525,239.670,1.587,260,0.298
GridWorldLearning,0.518,242.118,1.691,260,0.310
GridWorldLearning,0.530,244.691,1.779,258,0.323
GridWorldLearning,0.529,247.314,1.816,262,0.337
GridWorldLearning,0.533,249.917,1.806,261,0.345
GridWorldLearning,0.532,252.459,1.754,258,0.360
