Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.750,3.820,2.008,262,-0.825
SokobanLearning,0.529,6.057,1.490,260,-1.001
SokobanLearning,0.527,8.316,1.490,260,-1.060
SokobanLearning,0.565,10.608,1.498,260,-1.089
SokobanLearning,0.529,12.813,1.446,257,-1.132
SokobanLearning,0.532,14.956,1.402,259,-1.130
SokobanLearning,0.528,17.124,1.430,261,-1.140
SokobanLearning,0.532,19.356,1.480,261,-1.121
SokobanLearning,0.529,21.565,1.460,258,-1.161
SokobanLearning,0.528,23.779,1.466,262,-1.184
SokobanLearning,0.526,25.950,1.424,258,-1.198
SokobanLearning,0.527,28.129,1.427,260,-1.218
SokobanLearning,0.526,30.259,1.400,261,-1.230
SokobanLearning,0.523,32.405,1.412,257,-1.250
SokobanLearning,0.532,34.611,1.461,260,-1.260
SokobanLearning,0.528,36.755,1.405,258,-1.259
SokobanLearning,0.526,38.972,1.462,260,-1.274
SokobanLearning,0.527,41.148,1.433,261,-1.277
SokobanLearning,0.526,43.253,1.381,258,-1.288
SokobanLearning,0.527,45.453,1.455,261,-1.285
SokobanLearning,0.524,47.576,1.384,258,-1.300
SokobanLearning,0.528,49.718,1.396,259,-1.302
SokobanLearning,0.530,51.895,1.443,260,-1.313
SokobanLearning,0.525,54.080,1.441,260,-1.321
SokobanLearning,0.531,56.284,1.459,261,-1.331
SokobanLearning,0.530,58.465,1.432,262,-1.338
SokobanLearning,0.527,60.677,1.466,261,-1.319
SokobanLearning,0.531,62.860,1.427,262,-1.326
SokobanLearning,0.523,64.990,1.403,260,-1.334
SokobanLearning,0.526,67.131,1.417,257,-1.340
SokobanLearning,0.530,69.386,1.512,261,-1.345
SokobanLearning,0.528,71.595,1.458,261,-1.354
SokobanLearning,0.527,73.756,1.422,260,-1.361
SokobanLearning,0.529,75.940,1.443,260,-1.354
SokobanLearning,0.524,78.066,1.405,262,-1.358
SokobanLearning,0.527,80.182,1.389,259,-1.352
SokobanLearning,0.527,82.403,1.469,259,-1.346
